,Season,Stage,Round,Href
235,2007/2008,2. del-Liga za prvaka,10,http://www.kzs.si/incl?id=114&game_id=334443&league_id=undefined&season_id=11173
236,2007/2008,2. del-Liga za prvaka,11,http://www.kzs.si/incl?id=114&game_id=334453&league_id=undefined&season_id=11173
237,2007/2008,2. del-Liga za prvaka,11,http://www.kzs.si/incl?id=114&game_id=334463&league_id=undefined&season_id=11173
238,2007/2008,2. del-Liga za prvaka,11,http://www.kzs.si/incl?id=114&game_id=334473&league_id=undefined&season_id=11173
239,2007/2008,2. del-Liga za prvaka,11,http://www.kzs.si/incl?id=114&game_id=334483&league_id=undefined&season_id=11173
240,2007/2008,2. del-Liga za prvaka,12,http://www.kzs.si/incl?id=114&game_id=334543&league_id=undefined&season_id=11173
241,2007/2008,2. del-Liga za prvaka,12,http://www.kzs.si/incl?id=114&game_id=334553&league_id=undefined&season_id=11173
242,2007/2008,2. del-Liga za prvaka,12,http://www.kzs.si/incl?id=114&game_id=334563&league_id=undefined&season_id=11173
243,2007/2008,2. del-Liga za prvaka,12,http://www.kzs.si/incl?id=114&game_id=334573&league_id=undefined&season_id=11173
244,2007/2008,2. del-Liga za prvaka,13,http://www.kzs.si/incl?id=114&game_id=334613&league_id=undefined&season_id=11173
245,2007/2008,2. del-Liga za prvaka,13,http://www.kzs.si/incl?id=114&game_id=334623&league_id=undefined&season_id=11173
246,2007/2008,2. del-Liga za prvaka,13,http://www.kzs.si/incl?id=114&game_id=334633&league_id=undefined&season_id=11173
247,2007/2008,2. del-Liga za prvaka,13,http://www.kzs.si/incl?id=114&game_id=334643&league_id=undefined&season_id=11173
248,2007/2008,2. del-Liga za prvaka,14,http://www.kzs.si/incl?id=114&game_id=334663&league_id=undefined&season_id=11173
249,2007/2008,2. del-Liga za prvaka,14,http://www.kzs.si/incl?id=114&game_id=334673&league_id=undefined&season_id=11173
250,2007/2008,2. del-Liga za prvaka,14,http://www.kzs.si/incl?id=114&game_id=334683&league_id=undefined&season_id=11173
251,2007/2008,2. del-Liga za prvaka,14,http://www.kzs.si/incl?id=114&game_id=334693&league_id=undefined&season_id=11173
252,2007/2008,2. del-Liga za prvaka,2,http://www.kzs.si/incl?id=114&game_id=333183&league_id=undefined&season_id=11173
253,2007/2008,2. del-Liga za prvaka,2,http://www.kzs.si/incl?id=114&game_id=333193&league_id=undefined&season_id=11173
